,Nazwa stacji,avg_temp
0,PIWNICZNA,8.48542960662526
1,SZAMOTUŁY-BABORÓWKO,9.041622035195108
2,DOBROGOSZCZ,9.707498087222652
3,BODZENTYN,7.945889387144992
4,GOLENIÓW,9.754006410256409
5,PAPROĆ,9.192272379495025
6,BOGATYNIA,8.793726090283092
7,GRODKÓW,9.321193573068097
8,BORUCINO,8.450849345586189
9,SIELEC,8.319422043010755
10,JARCZEW,9.088612836438918
11,RABKA,7.327131782945735
12,DOLINA PIĘCIU STAWÓW,2.9966356107660457
13,DUKLA,7.948588709677419
14,ŁOPUSZNA,6.528803156510302
15,GRABOWNICA,8.73995398773006
16,MORSKIE OKO,3.622623574144488
17,PUŁTUSK,9.12216468151217
18,PAPROTKI,6.951139041633933
19,DRONIOWICE,9.33400621118012
20,WISŁA,7.430746705710099
21,CHORZELÓW,9.593031816986587
22,KOMAŃCZA,7.593322981366455
23,NOWY CYDZYN,7.959519291587606
24,SILNICZKA,8.6311886217406
25,SMOLICE,9.628389579632916
26,OTMUCHÓW,9.134736036725329
27,POŚWIĘTNE,8.146824789594486
28,LALIKI,7.289670575097709
29,STARE OLESNO,8.831369548584547
30,MIECHÓW,8.012029569892471
31,STRZYŻÓW,8.975414078674946
32,BYDGOSZCZ-SZWEDEROWO,10.08321167883212
33,ŁAZY,9.61105072463768
34,GDYNIA,8.935874439461884
35,WARSZAWA-OBSERWATORIUM II,9.641703684348055
36,GRABIK,9.274598316755927
37,LIDZBARK,7.541947291361641
38,GŁUBCZYCE,8.610614934114203
39,GORZYŃ,10.124560041407868
40,TOMASZÓW BOLESŁAWIECKI,8.760826319816372
41,SZEPIETOWO,8.5547619047619
42,LIDZBARK WARMIŃSKI,8.541071428571431
43,SZCZAWNO-ZDRÓJ,7.983244070390207
44,GOŁDAP,5.105164992826399
45,PRABUTY,7.691434846266469
46,KRAKÓW-OBSERWATORIUM,10.346635610766045
47,BIEBRZA-PIEŃCZYKÓWEK,7.874016563146996
48,KASPARUS,7.5761627906976745
49,BORUSOWA,9.976974032856386
50,KATOWICE PYRZOWICE,8.856103731815308
51,PUŁAWY,9.769125258799175
52,ŚWIERKLANIEC,8.31427525622255
53,PUCZNIEW,9.52749087115284
54,WARSZAWA-BIELANY,10.152329192546583
55,CHWAŁKOWICE,9.239556235654176
56,KRYNICA,7.174792960662528
57,MSZANA DOLNA,8.604636168252993
58,NAMYSŁÓW,9.044912012241772
59,LEGIONOWO,9.683643892339546
60,TARNÓW,9.82639751552795
61,KMIECIN,7.826606875934232
62,JĘDRZEJÓW-SUDÓŁ,8.161744452945676
63,DŁUGOPOLE-ZDRÓJ,7.817521040550884
64,IGOŁOMIA,8.77184139784946
65,WARSZAWA-FILTRY,10.222820378151258
66,ŚWIĘTAJNO,5.185245901639344
67,BEZEK,8.763124604680586
68,ŁAZISKA,8.049028400597907
69,PRZELEWICE,8.361620658949246
70,OBIDOWA,6.470416362308254
71,ŚWIERADÓW-ZDRÓJ,7.696403978576897
72,SŁUPCA,8.8442234123948
73,SUPRAŚL,7.460934182590237
74,RADZIECHOWY,8.915346790890267
75,BARWINEK,7.019690860215055
76,RÓŻANYSTOK,8.228623188405798
77,OLEWIN,7.846852122986826
78,KÓRNIK,9.658750813272606
79,OLECKO,8.184495722063783
80,WYSOKIE,7.914349775784756
81,KROŚCIENKO,8.303493788819884
82,BIAŁOWIEŻA,8.222889694458829
83,PORONIN,6.146480331262945
84,SKIERNIEWICE,9.539751552795027
85,GŁODOWO,8.358401880141008
86,GDAŃSK-ŚWIBNO,7.669192751235589
87,LIMANOWA,9.046504955659884
88,SZKLARSKA PORĘBA,7.0368783473603695
89,JASTRZĘBIA,8.837111801242234
90,SŁOSZÓW,6.979418515684775
91,LĄDEK-ZDRÓJ,7.861361897475133
92,MIASTKO,7.73206442166911
93,WARSZAWA-BABICE,8.958110236220472
94,SZCZYTNO,8.002558048012594
95,KARPACZ,8.108186687069626
96,BABIMOST,10.239806128830526
97,MARIANOWO II,8.994743758212877
98,DOBCZYCE,8.72506720430107
99,GRUDZIĄDZ,8.490043923865302
100,GDAŃSK-RĘBIECHOWO,8.560119047619049
101,POLKOWICE DOLNE,9.303442999234889
102,GNIEZNO,8.544529456771231
103,DYNÓW,8.830822981366461
104,TOMASZÓW LUBELSKI,8.063174046470845
105,NIEDZICA,7.6051759834368555
106,CEBER,10.08796583850932
107,BALIGRÓD-MCHAWA,7.4111559139784955
108,JABŁONKA,6.715476190476192
109,ZAWADA,9.942782014199317
110,ZAWOJA,7.338566433566436
111,MIZERNA,7.368603916614025
112,KRZYŻ,9.099158377964805
113,DZIWNÓW,8.736797536566595
114,POLANA CHOCHOŁOWSKA,5.467098515519567
115,MYSZYNIEC,7.501530221882168
116,RADOSTOWO,8.555646929824563
117,DARŁOWO,8.465919282511212
118,INWAŁD,8.913239247311823
119,WIERZCHOWO,8.112624330527929
120,BYDGOSZCZ,8.243704245973644
121,LGOTA GÓRNA,8.785248447204967
122,WITASZYCE,9.13374139250191
123,KOŁUDA WIELKA,9.610329613288345
124,ŁĄCKO,8.899999999999999
125,BIERUŃ STARY,8.548828696925332
126,CHRZĄSTOWO,9.264829192546582
127,BUKOWINA TATRZAŃSKA,6.957660455486542
128,CIESZANÓW,9.032039337474117
129,KOŚCIERZYNA,7.212005856515374
130,BIECZ-GRUDNA,8.013844086021505
131,PSZCZYNA,9.517236024844719
132,CIESZYN,9.066178623718889
133,JAKUSZYCE,4.60477657935285
134,PSZENNO,9.34965570007651
135,FROMBORK,8.4432735426009
136,HALA ORNAK,4.330260648442467
137,RADZYŃ,10.20351966873706
138,LUBINICKO-ŚWIEBODZIN,8.915494211932328
139,JAROCIN,9.162396480331262
140,MAKÓW PODHALAŃSKI,7.563911290322579
141,ŚWIĘTY KRZYŻ,7.834808488612839
142,BOLESŁAWÓW,7.183550114766638
143,ŚLIWICE,7.417642752562226
144,PTASZKOWA,8.896583850931677
145,SOLINA-JAWOR,8.62722567287785
146,GŁUCHOŁAZY,9.202983932670236
147,KORFANTÓW,8.93389441469013
148,CICIBÓR,8.004502688172044
149,STUPOSIANY,6.641194255479969
150,STASZÓW,9.021790890269152
151,NIELISZ,7.858669656203288
152,DOBROCIN,7.064714494875547
153,BRENNA,9.6847049689441
154,WIELICHOWO,9.914518633540377
155,MUSZYNA,7.762317518248178
156,JELCZ-LASKOWICE,8.995256312165266
157,KARŻNICZKA,8.456293485135992
158,SUKOWICE,8.89948755490483
159,TERKA,7.587555391432794
160,SANOK-TREPCZA,8.608035111411208
161,HALA GĄSIENICOWA,3.3948823309675005
162,WYSOWA,7.281024667931688
163,SIERADZ,8.409973285841495
